"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-addendum","fr-lm-addendum","fr-lm-addendum","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Addendum","Section Addendum","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-recommendation","fr-lm-recommendation.author[x].authorDevice","fr-lm-recommendation.author[x].authorDevice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/fr-lm-device {[]} {[]}
","L'auteur est un système","L'auteur est un système","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorDevice",0,*,"",""
"fr-lm-recommendation","fr-lm-recommendation.informant","fr-lm-recommendation.informant","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/fr-lm-informant {[]} {[]}
","Informateur","Informateur","","","","","","","","","",,,,,"",,,,"fr-lm-section.informant",0,*,"",""
"fr-lm-recommendation","fr-lm-recommendation.subSection","fr-lm-recommendation.subSection","","","",0,0,"","","","Base {[]} {[]}
","Sous-sections","Sous-sections","","","","","","","","","",,,,,"",,,,"fr-lm-section.subSection",0,*,"",""
"fr-lm-recommendation","fr-lm-recommendation.entry","fr-lm-recommendation.entry","","","",0,*,"","","","Base {[]} {[]}
","Entrées","Entrées","","","","","","","","","",,,,,"",,,,"fr-lm-section.entry",0,*,"",""
"fr-lm-recommendation","fr-lm-recommendation.entry.carePlan","fr-lm-recommendation.entry.carePlan","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/fr-lm-care-plan {[]} {[]}
","Recommandation sous forme de plan de soins","Recommandation sous forme de plan de soins","","","","","","","","","",,,,,"",,,,"fr-lm-recommendation.entry.carePlan",0,*,"",""
"fr-lm-related-person","fr-lm-related-person","fr-lm-related-person","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Related Person","Related Person","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-related-person","fr-lm-related-person.identifier","fr-lm-related-person.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiants de la personne","Identifiants de la personne","","","","","","","","","",,,,,"",,,,"fr-lm-related-person.identifier",0,*,"",""
"fr-lm-related-person","fr-lm-related-person.name","fr-lm-related-person.name","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/fr-lm-human-name {[]} {[]}
","Nom de la personne","Nom de la personne","","","","","","","","","",,,,,"",,,,"fr-lm-related-person.name",0,*,"",""
"fr-lm-related-person","fr-lm-related-person.subject","fr-lm-related-person.subject","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/fr-lm-patient {[]} {[]}
","Patient / Usager avec la personne","Patient / Usager avec la personne","","","","","","","","","",,,,,"",,,,"fr-lm-related-person.subject",1,1,"",""
"fr-lm-related-person","fr-lm-related-person.relationship","fr-lm-related-person.relationship","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Lien avec le patient","Lien avec le patient","","","","","","","","","",,"","jdv-hl7-v3-PersonalRelationshipRoleType-cisis","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-PersonalRelationshipRoleType-cisis|20260619134041","",,,,"fr-lm-related-person.relationship",1,1,"",""
"fr-lm-related-person","fr-lm-related-person.address","fr-lm-related-person.address","","","",0,*,"","","","Address {[]} {[]}
","Adresse","Adresse","","","","","","","","","",,,,,"",,,,"fr-lm-related-person.address",0,*,"",""
"fr-lm-related-person","fr-lm-related-person.telecom","fr-lm-related-person.telecom","","","",0,*,"","","","ContactPoint {[]} {[]}
","Telecom","Telecom","","","","","","","","","",,,,,"",,,,"fr-lm-related-person.telecom",0,*,"",""
"fr-lm-related-person","fr-lm-related-person.gender","fr-lm-related-person.gender","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Sexe de la personne","Sexe de la personne","","","","","","","","","",,"","jdv-hl7-v3-AdministrativeGender-cisis","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-AdministrativeGender-cisis|20260619134042","",,,,"fr-lm-related-person.gender",0,1,"",""
"fr-lm-related-person","fr-lm-related-person.birthDate","fr-lm-related-person.birthDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date de naissance de la personne","Date de naissance de la personne","","","","","","","","","",,,,,"",,,,"fr-lm-related-person.birthDate",0,1,"",""
"fr-lm-related-person","fr-lm-related-person.deceased","fr-lm-related-person.deceased","","","",0,1,"","","","BackboneElement {[]} {[]}
","Personne decedee","Personne decedee","","","","","","","","","",,,,,"",,,,"fr-lm-related-person.deceased",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-related-person","fr-lm-related-person.deceased.id","fr-lm-related-person.deceased.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"fr-lm-related-person","fr-lm-related-person.deceased.extension","fr-lm-related-person.deceased.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"fr-lm-related-person","fr-lm-related-person.deceased.modifierExtension","fr-lm-related-person.deceased.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"fr-lm-related-person","fr-lm-related-person.deceased.deceasedBoolean","fr-lm-related-person.deceased.deceasedBoolean","","","",0,1,"","","","boolean {[]} {[]}
","Personne decedee (booleen)","Personne decedee (booleen)","","","","","","","","","",,,,,"",,,,"fr-lm-related-person.deceased.deceasedBoolean",0,1,"",""
"fr-lm-related-person","fr-lm-related-person.deceased.deceasedDateTime","fr-lm-related-person.deceased.deceasedDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","Date et heure du deces","Date et heure du deces","","","","","","","","","",,,,,"",,,,"fr-lm-related-person.deceased.deceasedDateTime",0,1,"",""
"fr-lm-related-person","fr-lm-related-person.multipleBirth","fr-lm-related-person.multipleBirth","","","",0,1,"","","","BackboneElement {[]} {[]}
","Naissance multiple","Naissance multiple","","","","","","","","","",,,,,"",,,,"fr-lm-related-person.multipleBirth",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-related-person","fr-lm-related-person.multipleBirth.id","fr-lm-related-person.multipleBirth.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"fr-lm-related-person","fr-lm-related-person.multipleBirth.extension","fr-lm-related-person.multipleBirth.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"fr-lm-related-person","fr-lm-related-person.multipleBirth.modifierExtension","fr-lm-related-person.multipleBirth.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"fr-lm-related-person","fr-lm-related-person.multipleBirth.multipleBirthBoolean","fr-lm-related-person.multipleBirth.multipleBirthBoolean","","","",0,1,"","","","boolean {[]} {[]}
","Personne nee d'une naissance multiple","Personne nee d'une naissance multiple","","","","","","","","","",,,,,"",,,,"fr-lm-related-person.multipleBirth.multipleBirthBoolean",0,1,"",""
"fr-lm-related-person","fr-lm-related-person.multipleBirth.multipleBirthInteger","fr-lm-related-person.multipleBirth.multipleBirthInteger","","","",0,1,"","","","integer {[]} {[]}
","Rang de naissance (en cas de naissances multiples)","Rang de naissance (en cas de naissances multiples)","","","","","","","","","",,,,,"",,,,"fr-lm-related-person.multipleBirth.multipleBirthInteger",0,1,"",""
"fr-lm-related-person","fr-lm-related-person.photo","fr-lm-related-person.photo","","","",0,*,"","","","Attachment {[]} {[]}
","Photo de la personne","Photo de la personne","","","","","","","","","",,,,,"",,,,"fr-lm-related-person.photo",0,*,"",""
"fr-lm-related-person","fr-lm-related-person.period","fr-lm-related-person.period","","","",0,1,"","","","Period {[]} {[]}
","Periode pendant laquelle cette relation est consideree comme valide","Periode pendant laquelle cette relation est consideree comme valide","","","","","","","","","",,,,,"",,,,"fr-lm-related-person.period",0,1,"",""
"fr-lm-related-person","fr-lm-related-person.communication","fr-lm-related-person.communication","","","",0,*,"","","","BackboneElement {[]} {[]}
","Langue qui peut etre utilisee pour communiquer avec la personne","Langue qui peut etre utilisee pour communiquer avec la personne","","","","","","","","","",,,,,"",,,,"fr-lm-related-person.communication",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-related-person","fr-lm-related-person.communication.id","fr-lm-related-person.communication.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"fr-lm-related-person","fr-lm-related-person.communication.extension","fr-lm-related-person.communication.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
